,customerID,Churn,customer_gender,customer_SeniorCitizen,customer_Partner,customer_Dependents,customer_tenure,phone_PhoneService,phone_MultipleLines,internet_InternetService,internet_OnlineSecurity,internet_OnlineBackup,internet_DeviceProtection,internet_TechSupport,internet_StreamingTV,internet_StreamingMovies,account_Contract,account_PaperlessBilling,account_PaymentMethod,account_Charges_Monthly,account_Charges_Total
0,0002-orfbo,0,f,0,1,1,9,1,0,dsl,0,1,0,1,1,0,one year,1,mailed check,65.6,593.3
1,0003-mknfe,0,m,0,0,0,9,1,1,dsl,0,0,0,0,0,1,month,0,mailed check,59.9,542.4
2,0004-tlhlj,1,m,0,0,0,4,1,0,fiber optic,0,0,1,0,0,0,month,1,electronic check,73.9,280.85
3,0011-igkff,1,m,1,1,0,13,1,0,fiber optic,0,1,1,0,1,1,month,1,electronic check,98.0,1237.85
4,0013-exchz,1,f,1,1,0,3,1,0,fiber optic,0,0,0,1,1,0,month,1,mailed check,83.9,267.4
5,0013-mhzwf,0,f,0,0,1,9,1,0,dsl,0,0,0,1,1,1,month,1,credit card (automatic),69.4,571.45
6,0013-smeoe,0,f,1,1,0,71,1,0,fiber optic,1,1,1,1,1,1,two year,1,bank transfer (automatic),109.7,7904.25
7,0014-bmaqu,0,m,0,1,0,63,1,1,fiber optic,1,0,0,1,0,0,two year,1,credit card (automatic),84.65,5377.8
8,0015-uocoj,0,f,1,0,0,7,1,0,dsl,1,0,0,0,0,0,month,1,electronic check,48.2,340.35
9,0016-qljis,0,f,0,1,1,65,1,1,dsl,1,1,1,1,1,1,two year,1,mailed check,90.45,5957.9
10,0017-dinoc,0,m,0,0,0,54,0,0,dsl,1,0,0,1,1,0,two year,0,credit card (automatic),45.2,2460.55
11,0017-iudmw,0,f,0,1,1,72,1,1,fiber optic,1,1,1,1,1,1,two year,1,credit card (automatic),116.8,8456.75
12,0018-nyrou,0,f,0,1,0,5,1,0,fiber optic,0,0,0,0,0,0,month,1,electronic check,68.95,351.5
13,0019-efaep,0,f,0,0,0,72,1,1,fiber optic,1,1,1,0,1,0,two year,1,bank transfer (automatic),101.3,7261.25
14,0019-gfntw,0,f,0,0,0,56,0,0,dsl,1,1,1,1,0,0,two year,0,bank transfer (automatic),45.05,2560.1
15,0020-inwck,0,f,0,1,1,71,1,1,fiber optic,0,1,1,0,0,1,two year,1,credit card (automatic),95.75,6849.4
16,0020-jdnxp,0,f,0,1,1,34,0,0,dsl,1,0,1,1,1,1,one year,0,mailed check,61.25,1993.2
17,0021-ikxgc,0,f,1,0,0,1,1,1,fiber optic,0,0,0,0,0,0,month,1,electronic check,72.1,72.1
18,0022-tcjci,1,m,1,0,0,45,1,0,dsl,1,0,1,0,0,1,one year,0,credit card (automatic),62.7,2791.5
19,0023-hghwl,1,m,1,0,0,1,0,0,dsl,0,0,0,0,0,0,month,1,electronic check,25.1,25.1
20,0023-uyupn,0,f,1,1,0,50,1,1,no,0,0,0,0,0,0,one year,0,electronic check,25.2,1306.3
21,0023-xuopt,1,f,0,1,0,13,1,1,fiber optic,0,1,1,0,1,0,month,0,electronic check,94.1,1215.6
22,0027-kwykw,0,f,0,1,1,23,1,1,fiber optic,0,0,0,0,1,0,month,1,electronic check,83.75,1849.95
23,0030-fnxpp,0,f,0,0,0,3,1,0,no,0,0,0,0,0,0,month,0,mailed check,19.85,57.2
24,0031-pvlzi,1,f,0,1,1,4,1,0,no,0,0,0,0,0,0,month,0,mailed check,20.35,76.35
25,0032-pgels,1,f,0,1,1,1,0,0,dsl,1,0,0,0,0,0,month,0,bank transfer (automatic),30.5,30.5
