customerID,Churn,customer_gender,customer_SeniorCitizen,customer_Partner,customer_Dependents,customer_tenure,phone_PhoneService,phone_MultipleLines,internet_InternetService,internet_OnlineSecurity,internet_OnlineBackup,internet_DeviceProtection,internet_TechSupport,internet_StreamingTV,internet_StreamingMovies,account_Contract,account_PaperlessBilling,account_PaymentMethod,account_Charges_Monthly,account_Charges_Total
0002-orfbo,0,f,0,1,1,9,1,0,dsl,0,1,0,1,1,0,one year,1,mailed check,65.6,593.3
0003-mknfe,0,m,0,0,0,9,1,1,dsl,0,0,0,0,0,1,month,0,mailed check,59.9,542.4
0004-tlhlj,1,m,0,0,0,4,1,0,fiber optic,0,0,1,0,0,0,month,1,electronic check,73.9,280.85
0011-igkff,1,m,1,1,0,13,1,0,fiber optic,0,1,1,0,1,1,month,1,electronic check,98.0,1237.85
0013-exchz,1,f,1,1,0,3,1,0,fiber optic,0,0,0,1,1,0,month,1,mailed check,83.9,267.4
0013-mhzwf,0,f,0,0,1,9,1,0,dsl,0,0,0,1,1,1,month,1,credit card (automatic),69.4,571.45
0013-smeoe,0,f,1,1,0,71,1,0,fiber optic,1,1,1,1,1,1,two year,1,bank transfer (automatic),109.7,7904.25
0014-bmaqu,0,m,0,1,0,63,1,1,fiber optic,1,0,0,1,0,0,two year,1,credit card (automatic),84.65,5377.8
0015-uocoj,0,f,1,0,0,7,1,0,dsl,1,0,0,0,0,0,month,1,electronic check,48.2,340.35
0016-qljis,0,f,0,1,1,65,1,1,dsl,1,1,1,1,1,1,two year,1,mailed check,90.45,5957.9
0017-dinoc,0,m,0,0,0,54,0,0,dsl,1,0,0,1,1,0,two year,0,credit card (automatic),45.2,2460.55
0017-iudmw,0,f,0,1,1,72,1,1,fiber optic,1,1,1,1,1,1,two year,1,credit card (automatic),116.8,8456.75
0018-nyrou,0,f,0,1,0,5,1,0,fiber optic,0,0,0,0,0,0,month,1,electronic check,68.95,351.5
0019-efaep,0,f,0,0,0,72,1,1,fiber optic,1,1,1,0,1,0,two year,1,bank transfer (automatic),101.3,7261.25
0019-gfntw,0,f,0,0,0,56,0,0,dsl,1,1,1,1,0,0,two year,0,bank transfer (automatic),45.05,2560.1
0020-inwck,0,f,0,1,1,71,1,1,fiber optic,0,1,1,0,0,1,two year,1,credit card (automatic),95.75,6849.4
0020-jdnxp,0,f,0,1,1,34,0,0,dsl,1,0,1,1,1,1,one year,0,mailed check,61.25,1993.2
0021-ikxgc,0,f,1,0,0,1,1,1,fiber optic,0,0,0,0,0,0,month,1,electronic check,72.1,72.1
0022-tcjci,1,m,1,0,0,45,1,0,dsl,1,0,1,0,0,1,one year,0,credit card (automatic),62.7,2791.5
0023-hghwl,1,m,1,0,0,1,0,0,dsl,0,0,0,0,0,0,month,1,electronic check,25.1,25.1
0023-uyupn,0,f,1,1,0,50,1,1,no,0,0,0,0,0,0,one year,0,electronic check,25.2,1306.3
0023-xuopt,1,f,0,1,0,13,1,1,fiber optic,0,1,1,0,1,0,month,0,electronic check,94.1,1215.6
0027-kwykw,0,f,0,1,1,23,1,1,fiber optic,0,0,0,0,1,0,month,1,electronic check,83.75,1849.95
0030-fnxpp,0,f,0,0,0,3,1,0,no,0,0,0,0,0,0,month,0,mailed check,19.85,57.2
0031-pvlzi,1,f,0,1,1,4,1,0,no,0,0,0,0,0,0,month,0,mailed check,20.35,76.35
0032-pgels,1,f,0,1,1,1,0,0,dsl,1,0,0,0,0,0,month,0,bank transfer (automatic),30.5,30.5
0036-ihmot,0,f,0,1,1,55,1,0,fiber optic,0,1,1,1,1,1,one year,1,bank transfer (automatic),103.7,5656.75
0040-halcw,0,m,0,1,1,54,1,0,no,0,0,0,0,0,0,two year,0,credit card (automatic),20.4,1090.6
0042-jvwoj,0,m,0,0,0,26,1,0,no,0,0,0,0,0,0,one year,1,bank transfer (automatic),19.6,471.85
0042-rlhyp,0,f,0,1,1,69,1,0,no,0,0,0,0,0,0,two year,0,bank transfer (automatic),19.7,1396.9
0047-zhdtw,,f,0,0,0,11,1,1,fiber optic,1,0,0,0,0,0,month,1,bank transfer (automatic),79.0,929.3
0048-lumls,0,m,0,1,1,37,1,0,fiber optic,0,0,0,0,1,1,one year,0,credit card (automatic),91.2,3247.55
0048-pihnl,0,f,0,1,0,49,1,0,no,0,0,0,0,0,0,one year,0,bank transfer (automatic),20.45,900.9
0052-dckon,0,m,0,1,0,66,1,1,fiber optic,1,1,1,1,1,1,one year,0,bank transfer (automatic),115.8,7942.15
0052-ynyot,0,f,0,0,0,67,1,0,no,0,0,0,0,0,0,one year,0,electronic check,20.55,1343.4
0056-epfbg,0,m,0,1,1,20,0,0,dsl,1,0,1,1,0,0,two year,1,credit card (automatic),39.4,825.4
0057-qbuqh,0,f,0,0,1,43,1,1,no,0,0,0,0,0,0,two year,1,electronic check,25.1,1070.15
0058-evzwm,0,f,0,1,0,55,1,1,fiber optic,1,0,0,0,1,0,month,1,bank transfer (automatic),89.8,4959.6
0060-fualy,0,f,0,1,0,59,1,1,fiber optic,1,1,0,0,1,0,month,1,electronic check,94.75,5597.65
0064-sudog,0,f,0,1,1,12,1,0,no,0,0,0,0,0,0,two year,0,bank transfer (automatic),20.3,224.5
0064-yijgf,0,m,0,1,1,27,1,1,fiber optic,0,0,0,0,0,0,month,1,bank transfer (automatic),75.75,1929.0
0067-dkwbl,1,m,1,0,0,2,1,0,dsl,1,0,0,0,0,0,month,1,electronic check,49.25,91.1
0068-figtf,0,f,0,0,0,27,1,0,dsl,0,1,1,1,1,1,one year,0,mailed check,78.2,2078.95
0071-ndafp,0,m,0,1,1,25,1,1,no,0,0,0,0,0,0,two year,0,credit card (automatic),25.5,630.6
0074-hdkdg,0,m,0,1,1,25,1,0,dsl,1,1,1,0,0,0,one year,1,bank transfer (automatic),61.6,1611.0
0076-lveps,0,m,0,0,1,29,0,0,dsl,1,1,1,1,0,0,month,1,mailed check,45.0,1242.45
0078-xzmht,0,m,0,1,0,72,1,1,dsl,0,1,1,1,1,1,two year,1,bank transfer (automatic),85.15,6316.2
0080-emyvy,0,f,0,0,0,14,1,0,dsl,0,1,0,0,0,0,one year,0,credit card (automatic),51.45,727.85
0080-orozo,0,f,0,0,0,35,1,0,fiber optic,0,0,1,1,1,1,one year,1,electronic check,99.25,3532.0
0082-ldzue,0,m,0,0,0,1,1,0,dsl,0,0,0,0,0,0,month,1,mailed check,44.3,44.3
0082-oqiqy,0,m,0,0,0,29,1,0,fiber optic,0,0,0,1,1,1,month,1,electronic check,94.2,2607.6
0083-pivik,0,m,0,0,0,64,1,1,dsl,1,1,1,1,1,0,one year,0,electronic check,81.25,5567.55
0089-iiqko,0,f,0,1,1,39,1,1,fiber optic,0,0,0,1,1,1,month,1,credit card (automatic),99.95,3767.4
0093-exyql,0,f,1,0,0,40,1,0,fiber optic,0,0,0,0,1,1,month,1,electronic check,91.55,3673.6
0093-xwzfy,1,m,0,0,0,40,1,1,fiber optic,0,1,1,0,1,1,month,1,credit card (automatic),104.5,4036.85
0094-oifmo,1,f,1,0,0,11,1,0,fiber optic,0,1,0,0,1,1,month,1,electronic check,95.0,1120.3
0096-bxers,0,f,0,1,0,6,1,1,dsl,0,0,0,0,0,0,month,0,electronic check,50.35,314.55
0096-fcpuf,0,m,0,0,0,30,1,1,dsl,1,0,0,0,0,1,month,1,mailed check,64.5,1888.45
0098-bowso,0,m,0,0,0,27,1,0,no,0,0,0,0,0,0,month,1,electronic check,19.4,529.8
0100-duvfc,0,m,1,1,0,70,1,1,fiber optic,0,1,1,0,1,1,one year,1,electronic check,104.8,7308.95
0103-csitq,0,f,0,1,0,57,1,1,fiber optic,0,1,1,1,1,1,one year,1,bank transfer (automatic),109.4,6252.7
0104-ppxdv,0,m,0,1,0,58,1,0,dsl,0,0,1,0,0,0,one year,0,credit card (automatic),50.3,2878.55
0106-ghrqr,0,m,0,0,0,16,1,1,dsl,0,1,1,0,0,1,month,1,bank transfer (automatic),71.4,1212.1
0106-ugrdo,0,f,0,1,0,69,1,1,fiber optic,1,1,1,1,1,1,two year,1,electronic check,116.0,8182.85
0107-weslm,1,m,0,0,0,1,1,0,no,0,0,0,0,0,0,month,1,electronic check,19.85,19.85
0107-yhina,1,m,0,0,1,1,1,1,fiber optic,0,0,1,0,1,1,month,1,electronic check,99.75,99.75
0111-klbqg,0,m,1,1,1,32,1,0,fiber optic,0,1,0,0,1,1,month,1,mailed check,93.95,2861.45
0112-qawrz,0,m,0,1,1,16,1,1,fiber optic,0,0,1,0,1,0,month,1,bank transfer (automatic),90.8,1442.2
0112-qwpnc,1,m,0,1,0,49,1,1,dsl,1,0,1,1,1,1,one year,0,electronic check,84.35,4059.35
0114-igabw,0,f,0,1,0,71,0,0,dsl,0,1,1,1,1,1,two year,0,bank transfer (automatic),58.25,4145.9
